id,uploader,modifier,source_name,regulator_symbol,regulator_locus_tag,condition,data_usable,preferred_replicate,batch,lab,assay,source_orig_id,upload_date,modified_date,file,single_binding,composite_binding,promoter,background,fileformat
1,chasem,chasem,harbison_chip,OAF1,YAL051W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:51:48.611781-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/1.csv.gz,1,NA,NA,NA,1
2,chasem,chasem,harbison_chip,PDR3,YBL005W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:51:49.643452-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/2.csv.gz,2,NA,NA,NA,1
3,chasem,chasem,harbison_chip,HIR1,YBL008W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:51:50.744384-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/3.csv.gz,3,NA,NA,NA,1
4,chasem,chasem,harbison_chip,HAP3,YBL021C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:51:51.507918-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/4.csv.gz,4,NA,NA,NA,1
5,chasem,chasem,harbison_chip,TOD6,YBL054W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:51:52.277595-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/5.csv.gz,5,NA,NA,NA,1
10,chasem,chasem,harbison_chip,RTG3,YBL103C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:51:56.771823-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/10.csv.gz,10,NA,NA,NA,1
11,chasem,chasem,harbison_chip,EDS1,YBR033W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:51:57.588213-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/11.csv.gz,11,NA,NA,NA,1
14,chasem,chasem,harbison_chip,REB1,YBR049C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:51:59.742439-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/14.csv.gz,14,NA,NA,NA,1
17,chasem,chasem,harbison_chip,TEC1,YBR083W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:52:01.904746-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/17.csv.gz,17,NA,NA,NA,1
18,chasem,chasem,harbison_chip,TBS1,YBR150C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:52:02.632520-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/18.csv.gz,18,NA,NA,NA,1
