id,uploader,modifier,regulator_id,regulator_locus_tag,regulator_symbol,source_name,assay,strain_verified,preferred_replicate,qc_notes,upload_date,modified_date,batch,strain,replicate,control,mechanism,restriction,time,file,notes,regulator,source
3410,chasem,chasem,7142,YER109C,FLO8,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:48:44.892291-05:00,undefined,SMY125,1,undefined,gev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3410.csv.gz,strain_id:SMY125 ; date:20151006,268,7
3402,chasem,chasem,7079,YPR199C,ARR1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:48:36.074021-05:00,undefined,yRSM86,1,undefined,gev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3402.csv.gz,strain_id:yRSM86 ; date:20151026,267,7
3386,chasem,chasem,6960,YPR104C,FHL1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:48:13.038328-05:00,undefined,SMY2188,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3386.csv.gz,strain_id:SMY2188 ; date:20160524,1509,7
3378,chasem,chasem,6917,YPR065W,ROX1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:48:04.899343-05:00,undefined,SMY2107,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3378.csv.gz,strain_id:SMY2107 ; date:20160209,264,7
3370,chasem,chasem,6856,YPR009W,SUT2,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:47:56.633035-05:00,undefined,SMY2168,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3370.csv.gz,strain_id:SMY2168 ; date:20160606,260,7
3363,chasem,chasem,6855,YPR008W,HAA1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:47:48.643549-05:00,undefined,SMY2153,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3363.csv.gz,strain_id:SMY2153 ; date:20160504,259,7
3355,chasem,chasem,6829,YPL016W,SWI1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:47:40.711045-05:00,undefined,SMY2266c,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3355.csv.gz,strain_id:SMY2266c ; date:20161117,1508,7
3331,chasem,chasem,6807,YPL038W,MET31,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:47:16.132755-05:00,undefined,SMY40,1,undefined,gev,M,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3331.csv.gz,strain_id:SMY40 ; date:20150101,257,7
3323,chasem,chasem,6796,YPL048W,CAM1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:47:08.552361-05:00,undefined,SMY2182,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3323.csv.gz,strain_id:SMY2182 ; date:20160628,1507,7
3315,chasem,chasem,6795,YPL049C,DIG1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:47:01.177581-05:00,undefined,SMY2170,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3315.csv.gz,strain_id:SMY2170 ; date:20160504,255,7
3307,chasem,chasem,6767,YPL075W,GCR1,mcisaac_oe,overexpression,unverified,True,none,2024-07-01,2024-07-01T13:46:53.320406-05:00,undefined,SMY2069,1,undefined,zev,P,15.0,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/expression/mcisaac_oe/3307.csv.gz,strain_id:SMY2069 ; date:20161117,254,7
