model,interactor,chi2_stat,main_effect_comp,ubalanced_high_ptf,ptf_by_low_mtf_slope,ptf_by_high_mtf_slope,low_mTF_total,high_mTF_total,conflicting_sign
GAL11,CYC8,49.0642136595685,NA,TRUE,-0.003388038056149904,0.21428666396539517,3508,1217,FALSE
PGD1,ARG81,43.9588689385217,NA,FALSE,0.09377731448513049,0.062167077736871294,3087,1221,FALSE
GAL11,STP1,42.16681329854759,NA,TRUE,0.1380265176133859,0.15307134794750304,3500,1249,FALSE
RPH1,MSN2,38.07258167873969,NA,TRUE,-0.025125955904166816,0.16962197545121868,1614,1242,FALSE
DAL80,GZF3,32.382763862340234,NA,TRUE,-0.03457060760187988,0.13568376522318962,1707,1222,FALSE
USV1,WTM1,31.689880679238975,NA,TRUE,0.07815853056883607,0.09645779955415382,2505,1279,TRUE
RPH1,ERT1,29.870891571771338,NA,TRUE,0.08622814892630688,0.11149891321696234,1520,1232,FALSE
CST6,ARG81,28.784307597785215,NA,TRUE,0.03696254733799401,0.06575355142069049,3087,1221,FALSE
USV1,AZF1,27.81720574060472,NA,FALSE,0.07497993586058178,0.060222204361516464,3370,1221,FALSE
HAP4,OPI1,27.09425300539129,NA,TRUE,0.021005982709626586,0.1586823951908717,2069,1225,FALSE
ZAP1,SWI4,26.93274537819443,NA,FALSE,0.036774309034107645,0.011088327048205192,3786,1256,FALSE
SKN7,PPR1,26.717783129407447,NA,TRUE,-0.009091673468656618,0.17182024857672995,1855,1257,FALSE
PGD1,GIS1,26.135188133641275,NA,TRUE,-0.015038629858091818,0.1190257114286929,1429,1213,FALSE
RPH1,RGM1,25.12342794987834,NA,TRUE,-0.02398367509542387,0.19503178549453218,1378,1217,FALSE
SKN7,GIS1,24.93770682794463,NA,TRUE,-0.026402776394270012,0.21690328444582843,1429,1213,FALSE
DAL80,MTH1,24.724756827556437,NA,TRUE,0.008167582703018088,0.06883619442746287,2742,1228,FALSE
INO4,FKH2,24.566620912288634,NA,TRUE,0.01850811554838545,0.059068830893343534,2382,1265,FALSE
RDS2,GZF3,23.852257666699614,NA,TRUE,-0.054668061049166466,0.054242581175287706,1706,1223,FALSE
GAL11,GIS1,23.741138932854916,NA,TRUE,0.0357941636326672,0.20468846025706455,1429,1213,TRUE
MSN2,ASH1,23.405596792537605,NA,TRUE,0.041299029081678,0.2525747500679606,1238,1228,FALSE
UME1,FKH2,22.867375555292835,NA,TRUE,-0.06624895964818768,0.010268454717468295,2382,1265,FALSE
RDS2,MSN2,22.206147666368285,NA,TRUE,-0.028681334254777216,0.03977170973520573,1614,1243,FALSE
MED2,MET31,22.036980030540537,NA,TRUE,-0.11582662551111529,0.09436466360542924,1216,1225,FALSE
RPH1,TOG1,19.291260425992316,NA,TRUE,0.08238865363523858,0.13118197163410442,1223,1214,FALSE
CIN5,OPI1,18.088940080146454,NA,TRUE,0.10920145999722596,0.1442738035545739,2069,1225,FALSE
INO4,SMP1,17.158221314441782,NA,TRUE,-0.043505525057709174,0.08821165559332123,1246,1243,FALSE
CUP9,ERT1,16.833310655325867,NA,TRUE,0.1485007295179706,0.18846324444158916,1520,1233,FALSE
CST6,ASH1,16.450589753918077,NA,TRUE,0.03292200551903589,0.039239261593384075,1237,1229,FALSE
HAP4,SMP1,16.345813912437,NA,TRUE,-0.01160339304033996,0.09579238851524856,1245,1244,FALSE
MSN2,GAL4,16.230559344735948,NA,TRUE,0.18213696215094172,0.362092933181996,4746,1218,FALSE
HAP2,MIG1,15.870363546336927,NA,TRUE,-0.06692545293244764,0.09002898360225212,2909,1217,FALSE
RPH1,DAT1,14.544235975410487,NA,TRUE,0.022306102431803577,0.0580373120009741,1253,1213,FALSE
RDS2,RGM1,13.650634592975816,NA,TRUE,-0.09904846478974896,0.10355109359928895,1378,1217,TRUE
GAT2,DAT1,13.499856326136646,NA,TRUE,0.013333324505061358,0.07513730109833675,1253,1213,FALSE
CIN5,IXR1,12.889111464670004,NA,TRUE,0.04338538220529655,0.2291100755819869,3156,1260,FALSE
SKN7,HAA1,12.049611355279476,NA,TRUE,0.023167421923294903,0.1339331603811979,1215,1216,FALSE
MIG1,CYC8,9.68557036797853,NA,TRUE,-0.016002013994050546,0.25550077802962823,3508,1216,FALSE
OPI1,PPR1,9.056690238659094,NA,FALSE,0.009207917829620127,-0.012842587256649203,1855,1257,FALSE
OAF1,MBP1,7.689551408060267,NA,TRUE,0.009086665223003202,0.10686493669828011,1493,1290,FALSE
GIS1,ARG80,7.398967834752804,NA,TRUE,0.04161296854416338,0.11561327697999171,2120,1252,FALSE
MIG1,CBF1,5.605331458096622,NA,FALSE,0.281496836783976,0.03910984044269081,1215,1214,FALSE
INO4,GAL4,5.482970205995435,NA,TRUE,0.03229635690491079,0.14005633510935675,4745,1219,TRUE
MET4,SMP1,5.475489677014388,NA,FALSE,0.12843264595610088,0.09758262959850518,1246,1244,FALSE
DAL80,FKH2,4.260303034542776,NA,FALSE,0.056974209071171907,0.043027703969755415,2382,1265,FALSE
CHA4,LYS14,3.1855587884819627,NA,FALSE,-0.033352344457741365,-0.04687114382394334,4307,1240,FALSE
MET31,SMP1,2.286853719123229,NA,TRUE,-0.004162576500423293,0.01128736020078988,1245,1244,FALSE
DAL80,CBF1,0.5281794422855887,NA,TRUE,0.09405630342918937,0.0413583666644088,1215,1213,FALSE
